Month,User,Computer,Application,Sessions,Total_Usage,First_Usage_IST,Last_Usage_IST
2026-08,Pranit,DESKTOP-EQRIU2C,Notepad,4,00:00:10.715,2026-08-24 14:22:48.839,2026-08-24 15:35:56.588
2026-09,Pranit,DESKTOP-EQRIU2C,Notepad,7,00:01:08.081,2026-09-08 15:01:44.207,2026-09-08 15:58:48.535
